log_id,municipality_code,citizen_id,category,action_type,target_age_group,action_date,frequency_score,recency_days,engagement_value
L00492,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-07-09,5,17,6.7
L00493,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-12-13,5,17,6.7
L00494,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-07-08,5,17,6.6
L00495,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,17,7.7
L00496,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-11-29,5,17,7.7
L00497,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-07-15,5,17,6.6
L00498,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-12-15,5,17,6.0
L00499,073229,C0026,育児,子育て相談,30代子育て層,2024-10-30,5,17,8.4
L00500,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-08-19,5,17,7.9
L00501,073229,C0026,育児,子育て施設チェックイン,30代子育て層,2024-10-29,5,17,5.6
L00502,073229,C0026,教育,学習支援参加,30代子育て層,2024-07-14,2,24,5.5
L00503,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-12-16,5,9,6.1
L00504,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-07-16,5,9,8.1
L00505,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-08-04,5,9,7.9
L00506,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-14,5,9,7.7
L00507,073229,C0027,育児,子育て相談,30代子育て層,2024-10-10,5,9,6.5
L00508,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-12-28,5,9,7.0
L00509,073229,C0027,育児,保育所申込(窓口),30代子育て層,2024-11-13,5,9,6.3
L00510,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-20,5,9,5.7
L00511,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-08-19,5,9,7.1
L00512,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-07-24,5,9,6.5
L00513,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-26,5,9,7.3
L00514,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-12-27,5,9,6.8
L00515,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-02,5,9,7.3
L00516,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-12-14,5,9,8.4
L00517,073229,C0027,育児,保育所申込(窓口),30代子育て層,2024-07-23,5,9,7.5
L00518,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-11-12,5,9,7.9
L00519,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-07-11,5,9,5.9
L00520,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-24,5,9,5.6
L00521,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-12-16,5,9,6.6
L00522,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-11-26,5,9,5.6
L00523,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-10-27,5,9,8.3
L00524,073229,C0027,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,9,7.2
L00525,073229,C0027,教育,図書館利用,30代子育て層,2024-12-17,2,20,6.9
L00526,073229,C0027,育児,児童手当申請(オンライン),30代子育て層,2024-08-20,1,61,4.6
L00527,073229,C0028,育児,子育て相談,30代子育て層,2024-12-31,5,9,6.8
L00528,073229,C0028,育児,保育所申込(窓口),30代子育て層,2024-09-15,5,9,7.6
L00529,073229,C0028,育児,保育所申込(窓口),30代子育て層,2024-08-24,5,9,5.9
L00530,073229,C0028,育児,子育て相談,30代子育て層,2024-10-27,5,9,6.0
L00531,073229,C0028,育児,子育て相談,30代子育て層,2024-07-26,5,9,7.9
L00532,073229,C0028,育児,保育所申込(窓口),30代子育て層,2024-09-23,5,9,7.5
L00533,073229,C0028,育児,子育て相談,30代子育て層,2024-11-21,5,9,7.1
L00534,073229,C0028,育児,子育て相談,30代子育て層,2024-08-13,5,9,7.6
L00535,073229,C0028,育児,保育所申込(窓口),30代子育て層,2024-12-14,5,9,6.0
L00536,073229,C0028,育児,子育て施設チェックイン,30代子育て層,2024-08-30,5,9,5.9
L00537,073229,C0028,育児,子育て施設チェックイン,30代子育て層,2024-08-08,5,9,6.2
L00538,073229,C0028,育児,子育て施設チェックイン,30代子育て層,2024-10-04,5,9,7.2
L00539,073229,C0028,育児,子育て施設チェックイン,30代子育て層,2024-11-22,5,9,5.9
L00540,073229,C0028,育児,子育て相談,30代子育て層,2024-07-20,5,9,6.4
L00541,073229,C0028,育児,保育所申込(窓口),30代子育て層,2024-11-03,5,9,7.1
L00542,073229,C0028,育児,子育て相談,30代子育て層,2024-11-28,5,9,5.7
L00543,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-09-30,5,15,5.9
L00544,073229,C0029,育児,子育て相談,30代子育て層,2024-11-22,5,15,7.4
L00545,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-08-06,5,15,6.8
L00546,073229,C0029,育児,保育所申込(窓口),30代子育て層,2024-07-18,5,15,8.0
L00547,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-09-19,5,15,6.0
L00548,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-08-30,5,15,6.5
L00549,073229,C0029,育児,保育所申込(窓口),30代子育て層,2024-09-14,5,15,8.0
L00550,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-12-13,5,15,8.4
L00551,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-12-11,5,15,6.4
L00552,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-11-09,5,15,7.4
L00553,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-11-29,5,15,6.0
L00554,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-12-05,5,15,6.5
L00555,073229,C0029,育児,保育所申込(窓口),30代子育て層,2024-07-14,5,15,8.0
L00556,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-07-15,5,15,8.3
L00557,073229,C0029,育児,子育て相談,30代子育て層,2024-09-09,5,15,7.5
L00558,073229,C0029,育児,子育て相談,30代子育て層,2024-10-18,5,15,7.4
L00559,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-12-11,5,15,7.1
L00560,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-09-19,5,15,6.9
L00561,073229,C0029,育児,子育て相談,30代子育て層,2024-12-26,5,15,6.7
L00562,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-12-27,5,15,5.7
L00563,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-11-04,5,15,6.9
L00564,073229,C0029,育児,子育て施設チェックイン,30代子育て層,2024-08-09,5,15,6.4
L00565,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-10-06,5,13,7.0
L00566,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,13,6.9
L00567,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,13,5.9
L00568,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-10-10,5,13,8.1
L00569,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-08-13,5,13,7.9
L00570,073229,C0030,育児,保育所申込(窓口),30代子育て層,2024-09-22,5,13,6.1
L00571,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-11-12,5,13,6.9
L00572,073229,C0030,育児,子育て相談,30代子育て層,2024-11-08,5,13,5.6
L00573,073229,C0030,育児,保育所申込(窓口),30代子育て層,2024-11-10,5,13,6.9
L00574,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-11-30,5,13,6.6
L00575,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-11-07,5,13,7.3
L00576,073229,C0030,育児,子育て相談,30代子育て層,2024-12-23,5,13,6.9
L00577,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-07-31,5,13,6.8
L00578,073229,C0030,育児,子育て相談,30代子育て層,2024-10-05,5,13,7.8
L00579,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-10-14,5,13,5.7
L00580,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-10-04,5,13,7.2
L00581,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-11-10,5,13,6.9
L00582,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-12-10,5,13,7.5
L00583,073229,C0030,育児,子育て施設チェックイン,30代子育て層,2024-07-28,5,13,6.7
L00584,073229,C0030,育児,子育て相談,30代子育て層,2024-09-28,5,13,7.2
L00585,073229,C0030,教育,図書館利用,30代子育て層,2024-12-05,3,30,5.5
L00586,073229,C0030,育児,児童手当申請(オンライン),30代子育て層,2024-08-08,1,75,4.0
L00587,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-06,5,17,8.2
L00588,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-07,5,17,6.5
L00589,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-08,5,17,7.7
L00590,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-09-28,5,17,7.0
L00591,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-11-06,5,17,7.6
L00592,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-07-08,5,17,6.6
L00593,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-10-18,5,17,7.3
L00594,073229,C0031,育児,子育て相談,30代子育て層,2024-12-27,5,17,7.4
L00595,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-09-09,5,17,8.4
L00596,073229,C0031,育児,子育て相談,30代子育て層,2024-11-29,5,17,7.2
L00597,073229,C0031,育児,子育て相談,30代子育て層,2024-11-30,5,17,6.9
L00598,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,17,7.8
L00599,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-25,5,17,6.2
L00600,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-12-30,5,17,5.8
L00601,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-09-22,5,17,6.8
L00602,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-08-25,5,17,6.7
L00603,073229,C0031,育児,子育て相談,30代子育て層,2024-11-01,5,17,8.1
L00604,073229,C0031,育児,子育て相談,30代子育て層,2024-07-19,5,17,7.6
L00605,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-11-24,5,17,6.5
L00606,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-11-15,5,17,6.6
L00607,073229,C0031,育児,保育所申込(窓口),30代子育て層,2024-10-29,5,17,8.2
L00608,073229,C0031,育児,子育て施設チェックイン,30代子育て層,2024-10-02,5,17,7.5
L00609,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,20,6.3
L00610,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-09-18,5,20,7.8
L00611,073229,C0032,育児,子育て相談,30代子育て層,2024-12-27,5,20,7.6
L00612,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-10-01,5,20,7.2
L00613,073229,C0032,育児,保育所申込(窓口),30代子育て層,2024-09-12,5,20,6.4
L00614,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-11-20,5,20,6.6
L00615,073229,C0032,育児,保育所申込(窓口),30代子育て層,2024-09-30,5,20,8.4
L00616,073229,C0032,育児,子育て相談,30代子育て層,2024-09-16,5,20,5.6
L00617,073229,C0032,育児,保育所申込(窓口),30代子育て層,2024-07-24,5,20,6.5
L00618,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-09-07,5,20,7.7
L00619,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-11-18,5,20,6.3
L00620,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-09-11,5,20,5.9
L00621,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-12-01,5,20,6.2
L00622,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-11-16,5,20,6.2
L00623,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-07-29,5,20,6.7
L00624,073229,C0032,育児,子育て相談,30代子育て層,2024-07-29,5,20,7.5
L00625,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-11-21,5,20,8.4
L00626,073229,C0032,育児,子育て施設チェックイン,30代子育て層,2024-12-18,5,20,8.3
L00627,073229,C0032,育児,子育て相談,30代子育て層,2024-11-03,5,20,7.5
L00628,073229,C0033,育児,保育所申込(窓口),30代子育て層,2024-07-26,5,2,7.5
L00629,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-07-13,5,2,8.2
L00630,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-08-18,5,2,8.3
L00631,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-10-13,5,2,7.9
L00632,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-09-16,5,2,8.1
L00633,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-11-26,5,2,7.3
L00634,073229,C0033,育児,保育所申込(窓口),30代子育て層,2024-09-27,5,2,6.4
L00635,073229,C0033,育児,保育所申込(窓口),30代子育て層,2024-11-20,5,2,7.1
L00636,073229,C0033,育児,子育て相談,30代子育て層,2024-08-07,5,2,8.1
L00637,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-08-22,5,2,7.9
L00638,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-10-29,5,2,7.4
L00639,073229,C0033,育児,子育て相談,30代子育て層,2024-07-07,5,2,7.7
L00640,073229,C0033,育児,子育て相談,30代子育て層,2024-11-26,5,2,7.5
L00641,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-12-07,5,2,8.1
L00642,073229,C0033,育児,子育て相談,30代子育て層,2024-10-21,5,2,7.0
L00643,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-12-22,5,2,5.8
L00644,073229,C0033,育児,保育所申込(窓口),30代子育て層,2024-11-03,5,2,6.5
L00645,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-09-08,5,2,6.7
L00646,073229,C0033,育児,子育て施設チェックイン,30代子育て層,2024-09-10,5,2,8.4
L00647,073229,C0033,教育,学習支援参加,30代子育て層,2024-07-06,2,28,6.1
L00648,073229,C0033,育児,児童手当申請(オンライン),30代子育て層,2024-08-03,1,59,3.9
L00649,073229,C0034,育児,保育所申込(窓口),30代子育て層,2024-12-31,5,17,7.8
L00650,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-12-14,5,17,8.2
L00651,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-12-08,5,17,6.2
L00652,073229,C0034,育児,保育所申込(窓口),30代子育て層,2024-11-03,5,17,6.0
L00653,073229,C0034,育児,子育て相談,30代子育て層,2024-12-06,5,17,6.6
L00654,073229,C0034,育児,子育て相談,30代子育て層,2024-11-01,5,17,7.8
L00655,073229,C0034,育児,子育て相談,30代子育て層,2024-08-28,5,17,7.8
L00656,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-12-03,5,17,8.1
L00657,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-10-26,5,17,7.1
L00658,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,17,5.8
L00659,073229,C0034,育児,子育て相談,30代子育て層,2024-11-10,5,17,6.1
L00660,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-08-15,5,17,6.5
L00661,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-08-02,5,17,7.5
L00662,073229,C0034,育児,子育て相談,30代子育て層,2024-11-06,5,17,5.8
L00663,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-07-18,5,17,6.9
L00664,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-10-28,5,17,7.2
L00665,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-12-23,5,17,7.9
L00666,073229,C0034,育児,子育て相談,30代子育て層,2024-10-13,5,17,6.3
L00667,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-08-28,5,17,7.2
L00668,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-09-30,5,17,7.6
L00669,073229,C0034,育児,子育て施設チェックイン,30代子育て層,2024-07-19,5,17,8.3
L00670,073229,C0034,教育,学習支援参加,30代子育て層,2024-07-12,2,31,4.5
L00671,073229,C0035,育児,保育所申込(窓口),30代子育て層,2024-10-09,5,12,6.8
L00672,073229,C0035,育児,保育所申込(窓口),30代子育て層,2024-10-08,5,12,6.6
L00673,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,12,8.1
L00674,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-10-01,5,12,5.9
L00675,073229,C0035,育児,保育所申込(窓口),30代子育て層,2024-10-12,5,12,7.1
L00676,073229,C0035,育児,子育て相談,30代子育て層,2024-08-30,5,12,8.0
L00677,073229,C0035,育児,子育て相談,30代子育て層,2024-09-18,5,12,6.9
L00678,073229,C0035,育児,子育て相談,30代子育て層,2024-10-20,5,12,7.1
L00679,073229,C0035,育児,子育て相談,30代子育て層,2024-09-05,5,12,6.9
L00680,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-08-21,5,12,8.3
L00681,073229,C0035,育児,子育て相談,30代子育て層,2024-08-01,5,12,5.6
L00682,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-12-08,5,12,7.8
L00683,073229,C0035,育児,子育て相談,30代子育て層,2024-07-08,5,12,6.2
L00684,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-12-03,5,12,5.6
L00685,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-12-31,5,12,8.1
L00686,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-07-15,5,12,6.7
L00687,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-08-28,5,12,7.8
L00688,073229,C0035,育児,子育て相談,30代子育て層,2024-08-08,5,12,7.0
L00689,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-11-28,5,12,6.5
L00690,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-12-23,5,12,8.0
L00691,073229,C0035,育児,子育て施設チェックイン,30代子育て層,2024-08-09,5,12,8.5
L00692,073229,C0035,教育,図書館利用,30代子育て層,2024-09-12,1,40,6.8
L00693,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-07-16,5,14,8.4
L00694,073229,C0036,育児,保育所申込(窓口),30代子育て層,2024-12-22,5,14,6.6
L00695,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-12-29,5,14,6.7
L00696,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-10-08,5,14,6.1
L00697,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,14,8.0
L00698,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-08-09,5,14,7.9
L00699,073229,C0036,育児,保育所申込(窓口),30代子育て層,2024-11-24,5,14,6.7
L00700,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-11-16,5,14,5.9
L00701,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-08-25,5,14,6.5
L00702,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-10-27,5,14,8.0
L00703,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-08-21,5,14,5.7
L00704,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-12-05,5,14,7.3
L00705,073229,C0036,育児,子育て相談,30代子育て層,2024-08-21,5,14,7.9
L00706,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-12-22,5,14,7.2
L00707,073229,C0036,育児,子育て施設チェックイン,30代子育て層,2024-09-27,5,14,6.4
L00708,073229,C0036,育児,保育所申込(窓口),30代子育て層,2024-08-27,5,14,8.3
L00709,073229,C0036,育児,保育所申込(窓口),30代子育て層,2024-08-03,5,14,7.7
L00710,073229,C0037,育児,保育所申込(窓口),30代子育て層,2024-11-22,5,13,6.5
L00711,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-10-31,5,13,7.1
L00712,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-09-08,5,13,6.6
L00713,073229,C0037,育児,子育て相談,30代子育て層,2024-10-31,5,13,5.8
L00714,073229,C0037,育児,保育所申込(窓口),30代子育て層,2024-11-01,5,13,7.8
L00715,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-08-25,5,13,6.6
L00716,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,13,8.1
L00717,073229,C0037,育児,子育て相談,30代子育て層,2024-07-08,5,13,6.3
L00718,073229,C0037,育児,保育所申込(窓口),30代子育て層,2024-11-29,5,13,7.7
L00719,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-08-23,5,13,6.5
L00720,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-09-04,5,13,7.0
L00721,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-12-26,5,13,6.5
L00722,073229,C0037,育児,子育て相談,30代子育て層,2024-11-06,5,13,8.4
L00723,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-11-06,5,13,6.9
L00724,073229,C0037,育児,子育て相談,30代子育て層,2024-10-02,5,13,6.0
L00725,073229,C0037,育児,子育て相談,30代子育て層,2024-11-06,5,13,6.1
L00726,073229,C0037,育児,子育て相談,30代子育て層,2024-12-15,5,13,8.4
L00727,073229,C0037,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,13,8.3
L00728,073229,C0038,育児,子育て相談,30代子育て層,2024-09-01,5,5,5.7
L00729,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-08-28,5,5,7.0
L00730,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,5,7.4
L00731,073229,C0038,育児,保育所申込(窓口),30代子育て層,2024-11-04,5,5,7.5
L00732,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-11-17,5,5,7.2
L00733,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-11-16,5,5,7.7
L00734,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-09-15,5,5,5.6
L00735,073229,C0038,育児,子育て相談,30代子育て層,2024-12-23,5,5,6.8
L00736,073229,C0038,育児,保育所申込(窓口),30代子育て層,2024-08-18,5,5,5.8
L00737,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-08-11,5,5,6.2
L00738,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-09-06,5,5,7.9
L00739,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-10-13,5,5,5.7
L00740,073229,C0038,育児,保育所申込(窓口),30代子育て層,2024-10-29,5,5,7.2
L00741,073229,C0038,育児,保育所申込(窓口),30代子育て層,2024-08-30,5,5,6.4
L00742,073229,C0038,育児,子育て相談,30代子育て層,2024-07-24,5,5,7.5
L00743,073229,C0038,育児,子育て相談,30代子育て層,2024-07-12,5,5,5.8
L00744,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-11-22,5,5,6.9
L00745,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-12-30,5,5,6.0
L00746,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-10-23,5,5,7.4
L00747,073229,C0038,育児,子育て施設チェックイン,30代子育て層,2024-07-28,5,5,8.2
L00748,073229,C0038,育児,保育所申込(窓口),30代子育て層,2024-08-31,5,5,6.1
L00749,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,9,7.6
L00750,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-11-20,5,9,7.2
L00751,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-09-22,5,9,5.5
L00752,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-08-09,5,9,7.8
L00753,073229,C0039,育児,子育て相談,30代子育て層,2024-10-13,5,9,8.3
L00754,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,9,6.2
L00755,073229,C0039,育児,子育て相談,30代子育て層,2024-10-11,5,9,7.5
L00756,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-10-10,5,9,7.8
L00757,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-12-27,5,9,7.7
L00758,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-09-30,5,9,5.7
L00759,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,9,6.5
L00760,073229,C0039,育児,子育て相談,30代子育て層,2024-12-03,5,9,6.7
L00761,073229,C0039,育児,子育て相談,30代子育て層,2024-07-11,5,9,7.4
L00762,073229,C0039,育児,子育て相談,30代子育て層,2024-10-27,5,9,7.0
L00763,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-10-08,5,9,6.8
L00764,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,9,6.6
L00765,073229,C0039,育児,子育て相談,30代子育て層,2024-09-17,5,9,7.9
L00766,073229,C0039,育児,子育て相談,30代子育て層,2024-07-25,5,9,6.3
L00767,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-12-13,5,9,6.0
L00768,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-10-04,5,9,5.8
L00769,073229,C0039,育児,子育て施設チェックイン,30代子育て層,2024-09-20,5,9,6.8
L00770,073229,C0039,育児,子育て相談,30代子育て層,2024-07-30,5,9,5.9
L00771,073229,C0039,教育,図書館利用,30代子育て層,2024-11-23,3,31,4.3
L00772,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-09-25,5,20,8.1
L00773,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-10-17,5,20,6.7
L00774,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-11-24,5,20,8.2
L00775,073229,C0040,育児,保育所申込(窓口),30代子育て層,2024-11-27,5,20,7.1
L00776,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-08-16,5,20,5.9
L00777,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-11-07,5,20,5.9
L00778,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-09-12,5,20,6.8
L00779,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,20,6.6
L00780,073229,C0040,育児,保育所申込(窓口),30代子育て層,2024-12-11,5,20,7.0
L00781,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-10-29,5,20,5.8
L00782,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-10-13,5,20,6.5
L00783,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-09-26,5,20,6.8
L00784,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-12-17,5,20,8.4
L00785,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-09-24,5,20,7.3
L00786,073229,C0040,育児,子育て施設チェックイン,30代子育て層,2024-11-03,5,20,6.4
L00787,073229,C0040,育児,保育所申込(窓口),30代子育て層,2024-09-23,5,20,6.4
L00788,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-10-08,3,60,6.3
L00789,073229,C0041,育児,子育て相談,30代子育て層,2024-10-05,3,60,5.8
L00790,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-12-02,3,60,8.5
L00791,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-11-21,3,60,5.6
L00792,073229,C0041,育児,子育て相談,30代子育て層,2024-08-26,3,60,6.8
L00793,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-12-28,3,60,5.7
L00794,073229,C0041,育児,子育て相談,30代子育て層,2024-10-16,3,60,7.5
L00795,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-09-19,3,60,6.2
L00796,073229,C0041,育児,子育て施設チェックイン,30代子育て層,2024-10-20,3,60,7.9
